ListingCreationDate,Term,LoanStatus,BorrowerAPR,LenderYield,BorrowerRate,ProsperRating (Alpha),ProsperScore,EmploymentStatus,Occupation,ListingCategory (numeric),MonthlyLoanPayment,IsBorrowerHomeowner,IncomeRange,TotalProsperLoans,Recommendations,Investors,LoanOriginalAmount
2011-02-17 05:52:07.960,36,Completed,0.13109,0.0999,0.1099,B,8.0,Full-time,Analyst,6,183.31,True,"$75,000-99,999",1.0,0,114,5600
2013-07-18 05:09:06.357,36,Past Due (16-30 days),0.33286,0.2832,0.2932,E,2.0,Employed,Other,7,168.32,False,"$50,000-74,999",1.0,0,1,4000
2012-05-30 08:40:11.343,36,Completed,0.33973000000000003,0.2899,0.2999,E,3.0,Employed,Professional,1,169.78,True,"$25,000-49,999",1.0,0,35,4000
2012-10-26 11:59:35.153,36,Current,0.23121,0.1839,0.1939,C,6.0,Employed,Sales - Retail,7,73.71,False,"$1-24,999",1.0,0,38,2000
2014-01-26 10:13:04.513,36,Current,0.17151,0.1255,0.1355,B,9.0,Employed,Computer Programmer,1,135.84,True,"$50,000-74,999",1.0,0,1,4000
2013-09-03 08:45:13.893,60,Current,0.10878,0.0769,0.0869,AA,10.0,Other,Other,2,206.08,False,"$25,000-49,999",1.0,0,184,10000
2013-01-25 11:48:26.040,36,Chargedoff,0.35356,0.3034,0.3134,HR,3.0,Not employed,Other,13,172.76,False,Not employed,1.0,0,73,4000
2009-08-25 13:37:08.130,36,Completed,0.15529,0.1238,0.1338,A,9.0,Full-time,Professional,1,322.34,True,"$100,000+",1.0,0,293,10000
2012-04-17 11:58:52.270,36,Chargedoff,0.26681,0.2187,0.2287,D,2.0,Self-employed,Truck Driver,3,579.63,True,"$50,000-74,999",1.0,0,21,15000
2011-11-09 05:28:07.977,36,Current,0.19088,0.1519,0.1619,B,6.0,Employed,Other,1,352.51,False,"$50,000-74,999",1.0,0,188,10000
2009-09-02 03:17:56.993,36,Completed,0.14476,0.1134,0.1234,C,9.0,Full-time,Police Officer/Correction Officer,1,66.75,True,"$50,000-74,999",1.0,0,164,2000
2010-11-21 16:34:22.307,36,Completed,0.34631,0.3,0.31,HR,5.0,Full-time,Nurse (RN),7,129.0,True,"$50,000-74,999",1.0,0,80,3000
2013-08-21 14:38:44.203,60,Current,0.20081,0.1669,0.1769,B,6.0,Employed,Construction,1,378.38,True,"$75,000-99,999",2.0,0,28,15000
2012-08-06 16:58:47.380,60,Current,0.15936,0.1264,0.1364,A,8.0,Employed,Other,11,115.41,False,"$25,000-49,999",1.0,0,31,5000
2012-03-16 09:22:33.393,36,Defaulted,0.33973000000000003,0.2899,0.2999,E,3.0,Employed,Military Enlisted,6,127.34,True,"$25,000-49,999",1.0,0,31,3000
2012-03-22 19:11:18.370,36,Past Due (1-15 days),0.33973000000000003,0.2899,0.2999,E,3.0,Other,Other,2,106.12,False,"$1-24,999",1.0,0,25,2500
2009-09-04 13:01:25.240,36,Completed,0.09191,0.0612,0.0712,AA,10.0,Full-time,Professional,6,68.05,False,"$50,000-74,999",1.0,0,132,2200
2014-02-25 04:40:18.983,36,Current,0.28943,0.2404,0.2504,E,2.0,Employed,Professional,1,132.59,True,"$75,000-99,999",1.0,0,32,3333
2012-04-24 12:50:16.713,60,Completed,0.20705,0.173,0.183,B,7.0,Employed,Computer Programmer,3,383.35,False,"$75,000-99,999",1.0,0,149,15000
2014-02-12 16:31:25.340,36,Current,0.09469,0.0709,0.0809,AA,11.0,Employed,Tradesman - Mechanic,6,172.58,False,"$75,000-99,999",1.0,0,1,5500
2013-01-22 10:23:00.253,36,Current,0.09988,0.0764,0.0864,AA,10.0,Employed,Teacher,1,113.88,False,"$75,000-99,999",3.0,0,73,3600
2012-05-09 23:49:41.610,36,Current,0.18316,0.1369,0.1469,B,6.0,Employed,Social Worker,7,100.09,True,"$75,000-99,999",1.0,0,48,2900
2011-12-16 03:50:25.970,36,Defaulted,0.34731,0.2973,0.3073,E,1.0,Employed,Postal Service,2,235.69,True,"$50,000-74,999",1.0,0,45,5500
2012-11-16 11:07:50.140,36,Current,0.13697,0.0989,0.1089,A,8.0,Employed,Attorney,7,65.37,True,"$50,000-74,999",1.0,0,28,2000
2013-08-16 15:29:16.643,36,Current,0.20462,0.1579,0.1679,B,4.0,Other,Other,14,124.42,True,"$50,000-74,999",1.0,0,11,3500
2013-12-29 21:01:37.923,60,Current,0.18197,0.1485,0.1585,C,8.0,Employed,Sales - Commission,2,601.11,True,"$100,000+",2.0,0,303,24800
2010-08-01 08:26:42.480,36,Completed,0.29265,0.2475,0.2575,D,8.0,Employed,Professional,7,0.0,False,"$100,000+",1.0,0,53,3000
2013-03-07 15:46:17.840,36,Chargedoff,0.19236,0.1459,0.1559,B,4.0,Self-employed,Other,1,349.55,True,"$50,000-74,999",2.0,0,180,10000
2013-05-20 14:27:47.717,60,Current,0.15629,0.1234,0.1334,A,8.0,Employed,Other,2,343.91,False,"$50,000-74,999",3.0,0,1,15000
2012-10-25 17:48:30.273,36,Current,0.23121,0.1839,0.1939,C,6.0,Employed,Nurse (RN),18,184.27,True,"$100,000+",1.0,0,108,5000
2012-12-08 09:12:52.747,36,Current,0.27285,0.2246,0.2346,D,6.0,Other,Other,2,136.32,False,"$25,000-49,999",1.0,0,57,3500
2012-03-08 09:39:25.537,36,Completed,0.11765999999999999,0.0799,0.0899,A,8.0,Employed,Professional,7,63.59,True,"$50,000-74,999",1.0,0,43,2000
2010-12-09 09:46:00.233,36,Completed,0.35858,0.312,0.322,E,5.0,Employed,Professional,1,327.49,True,"$50,000-74,999",1.0,0,96,7500
2013-06-21 12:19:50.243,36,Current,0.33286,0.2832,0.2932,E,2.0,Employed,Truck Driver,14,168.32,False,"$50,000-74,999",1.0,0,1,4000
2009-10-27 18:33:52.867,36,Completed,0.22593000000000002,0.191,0.201,C,10.0,Full-time,Administrative Assistant,1,55.82,False,"$50,000-74,999",1.0,1,59,1500
2014-02-12 07:04:36.607,36,Current,0.14243,0.1039,0.1139,A,10.0,Employed,Clerical,1,362.16,False,"$100,000+",1.0,0,1,11000
2012-12-10 06:33:30.860,36,Current,0.13138,0.0934,0.1034,A,7.0,Employed,Professional,6,226.99,False,"$25,000-49,999",1.0,0,91,7000
2010-05-12 09:32:44.070,36,Completed,0.37401999999999996,0.3395,0.3495,HR,5.0,Full-time,Other,1,113.02,False,"$25,000-49,999",1.0,1,34,2500
2014-02-18 12:59:08.680,60,Current,0.15868,0.1255,0.1355,B,11.0,Full-time,Other,1,460.71,False,"$75,000-99,999",3.0,0,1,20000
2012-08-30 10:31:05.053,60,Current,0.15936,0.1264,0.1364,A,9.0,Employed,Scientist,15,69.25,False,"$50,000-74,999",1.0,0,7,3000
2012-08-27 11:47:10.073,36,Completed,0.35796999999999995,0.3077,0.3177,HR,1.0,Employed,Engineer - Mechanical,18,173.71,True,"$75,000-99,999",1.0,0,45,4000
2012-04-05 08:11:01.317,36,Chargedoff,0.22455999999999998,0.1774,0.1874,C,4.0,Employed,Accountant/CPA,15,255.67,False,"$50,000-74,999",1.0,0,123,7000
2012-03-09 06:22:27.633,36,Chargedoff,0.26681,0.2187,0.2287,D,5.0,Full-time,Other,1,194.18,False,"$1-24,999",1.0,0,102,5025
2011-05-11 05:54:36.187,36,Current,0.25424,0.2099,0.2199,D,4.0,Employed,Computer Programmer,7,160.38,True,"$75,000-99,999",1.0,0,26,4200
2012-06-25 14:56:30.260,36,Current,0.26681,0.2187,0.2287,D,7.0,Employed,Professional,11,77.28,False,"$50,000-74,999",1.0,0,8,2000
2013-05-20 17:08:10.063,60,Current,0.17522000000000001,0.1419,0.1519,B,7.0,Employed,Professional,18,358.35,False,"$50,000-74,999",4.0,0,1,15000
2012-06-13 14:28:36.033,36,Current,0.12427,0.0864,0.0964,A,9.0,Employed,Analyst,1,529.62,False,"$100,000+",1.0,0,271,16500
2014-02-06 15:25:07.490,60,Current,0.16993,0.1365,0.1465,B,9.0,Employed,Professional,1,259.67,False,"$75,000-99,999",1.0,0,1,11000
2012-04-08 22:24:50.183,36,Current,0.33973000000000003,0.2899,0.2999,E,1.0,Self-employed,Other,18,106.12,False,"$1-24,999",1.0,0,12,2500
2013-02-22 12:37:48.757,36,Current,0.21025,0.1634,0.1734,C,2.0,Employed,Executive,2,429.87,True,"$100,000+",1.0,0,26,12000
2012-10-08 09:24:16.113,36,Current,0.21025,0.1634,0.1734,C,4.0,Self-employed,Retail Management,2,71.64,True,"$25,000-49,999",1.0,0,18,2000
2013-08-08 10:38:23.200,36,Current,0.09837,0.0749,0.0849,AA,10.0,Employed,Waiter/Waitress,13,220.94,False,"$50,000-74,999",1.0,0,125,7000
2013-05-30 15:44:39.787,60,Current,0.20081,0.1669,0.1769,B,6.0,Employed,Tradesman - Electrician,2,252.25,True,"$75,000-99,999",2.0,0,1,10000
2012-02-02 08:42:24.493,60,Current,0.2699,0.2343,0.2443,C,4.0,Employed,Executive,7,435.27,True,"$100,000+",1.0,0,1,15000
2009-10-24 06:33:50.757,36,Completed,0.37699,0.33,0.34,HR,2.0,Self-employed,Truck Driver,3,111.68,False,"$50,000-74,999",1.0,0,56,2500
2011-05-08 09:09:36.427,36,Completed,0.32576,0.2799,0.2899,E,3.0,Full-time,Clerical,1,188.55,False,"$25,000-49,999",2.0,0,29,4500
2011-10-02 21:09:36.770,36,Current,0.34886999999999996,0.3025,0.3125,HR,1.0,Full-time,Bus Driver,1,172.56,False,"$50,000-74,999",1.0,0,52,4000
2010-11-15 15:54:39.747,36,Defaulted,0.2952,0.25,0.26,HR,6.0,Full-time,Other,1,161.16,False,"$25,000-49,999",3.0,0,91,4000
2012-05-22 06:11:55.710,36,Defaulted,0.22741999999999998,0.1802,0.1902,C,5.0,Employed,Other,1,110.0,True,"$25,000-49,999",1.0,0,54,3000
2013-04-20 16:01:29.307,60,Chargedoff,0.32393,0.2869,0.2969,E,3.0,Full-time,Professional,15,128.65,False,"$50,000-74,999",3.0,0,58,4000
2013-08-19 15:05:56.923,36,Current,0.15833,0.1199,0.1299,A,6.0,Employed,Professional,18,505.34,True,"$75,000-99,999",1.0,0,226,15000
2010-02-15 12:53:31.610,36,Chargedoff,0.34915,0.315,0.325,D,7.0,Full-time,Architect,2,350.66,True,"$75,000-99,999",1.0,0,62,8000
2012-03-15 20:09:59.610,60,Completed,0.35838000000000003,0.3204,0.3304,E,3.0,Employed,Computer Programmer,1,136.98,True,"$75,000-99,999",3.0,0,21,4000
2011-10-17 12:28:39.997,36,Completed,0.1322,0.101,0.111,A,8.0,Full-time,Computer Programmer,1,327.86,True,"$50,000-74,999",4.0,0,131,10000
2013-08-24 04:58:54.307,36,Current,0.34752,0.2975,0.3075,HR,2.0,Employed,Food Service,7,171.45,False,"$50,000-74,999",2.0,0,32,4000
2013-05-16 19:43:43.153,36,Defaulted,0.35356,0.3034,0.3134,HR,3.0,Other,Other,13,172.76,False,"$1-24,999",1.0,0,50,4000
2012-06-26 05:31:41.677,36,Current,0.14816,0.1099,0.1199,A,7.0,Employed,Clerical,20,332.1,False,"$25,000-49,999",2.0,0,37,10000
2013-06-06 15:56:51.693,60,Current,0.10878,0.0769,0.0869,AA,10.0,Employed,Civil Service,6,72.13,True,"$100,000+",1.0,0,61,3500
2010-11-19 07:35:59.007,36,Chargedoff,0.30951,0.264,0.274,D,6.0,Full-time,Executive,3,307.8,True,"$25,000-49,999",1.0,1,224,7500
2012-02-22 07:12:34.750,36,Current,0.11765999999999999,0.0799,0.0899,A,8.0,Employed,Professional,1,95.39,False,"$75,000-99,999",1.0,0,62,3000
2011-11-17 19:35:52.030,36,Completed,0.18986,0.1509,0.1609,B,5.0,Employed,Administrative Assistant,1,246.41,False,"$25,000-49,999",3.0,0,142,7000
2013-03-10 10:23:58.167,60,Current,0.18136,0.1479,0.1579,B,5.0,Employed,Skilled Labor,13,387.31,True,"$50,000-74,999",1.0,0,151,16000
2013-05-20 05:57:05.243,60,Current,0.14965,0.1169,0.1269,A,9.0,Employed,Doctor,1,225.95,True,"$100,000+",2.0,0,1,10000
2012-03-16 08:27:10.850,36,Completed,0.17359000000000002,0.1349,0.1449,B,6.0,Full-time,Police Officer/Correction Officer,15,86.04,True,"$25,000-49,999",1.0,0,45,2500
2013-02-01 07:52:32.933,36,Current,0.09333,0.0699,0.0799,AA,10.0,Full-time,Other,20,187.99,True,"$100,000+",1.0,0,99,6000
2014-03-06 08:54:42.840,60,Current,0.14528,0.1124,0.1224,B,11.0,Employed,Other,1,335.49,False,"$100,000+",2.0,0,1,15000
2012-07-24 04:09:36.213,60,Current,0.33297,0.2957,0.3057,E,3.0,Full-time,Other,14,245.28,False,"$50,000-74,999",2.0,0,11,7500
2014-01-06 07:18:54.173,60,Current,0.17327,0.14,0.15,B,11.0,Employed,Analyst,1,594.75,True,"$75,000-99,999",1.0,0,1,25000
2010-05-30 18:37:24.953,36,Chargedoff,0.24806999999999998,0.2,0.21,HR,5.0,Full-time,Sales - Commission,7,37.68,False,"$25,000-49,999",1.0,0,31,1000
2013-02-08 10:31:17.373,60,Current,0.11695,0.0849,0.0949,A,10.0,Employed,Analyst,1,104.98,False,"$75,000-99,999",1.0,0,75,5000
2013-02-27 06:52:13.943,60,Current,0.13227,0.0999,0.1099,A,9.0,Employed,Teacher's Aide,6,91.3,False,"$50,000-74,999",3.0,0,73,4200
2012-08-28 05:06:28.960,12,Completed,0.18525999999999998,0.1179,0.1279,B,4.0,Full-time,Executive,15,178.44,True,"$50,000-74,999",3.0,0,21,2000
2013-06-03 09:07:12.000,36,Current,0.3179,0.2686,0.2786,E,2.0,Employed,Professional,2,144.51,True,"$75,000-99,999",1.0,0,66,3500
2013-11-15 15:12:11.190,36,Current,0.20984,0.163,0.173,C,8.0,Self-employed,Truck Driver,14,537.03,False,"$100,000+",2.0,0,1,15000
2013-05-17 08:11:08.867,36,Current,0.27285,0.2246,0.2346,D,4.0,Employed,Religious,1,155.8,True,"$50,000-74,999",2.0,0,57,4000
2011-10-09 21:43:47.123,36,Completed,0.29254,0.2474,0.2574,D,4.0,Employed,Truck Driver,1,160.61,False,"$25,000-49,999",2.0,0,56,4000
2013-04-08 11:30:47.260,36,Completed,0.25781,0.2099,0.2199,D,2.0,Employed,Other,18,122.19,True,"$50,000-74,999",2.0,0,44,3200
2009-10-28 09:15:51.650,36,Completed,0.2832,0.25,0.26,HR,5.0,Full-time,Engineer - Mechanical,2,84.61,True,"$25,000-49,999",1.0,2,64,2100
2012-12-19 14:02:47.133,60,Current,0.23656,0.2018,0.2118,C,7.0,Full-time,Professional,13,203.66,False,"$50,000-74,999",1.0,0,105,7500
2013-12-31 07:14:06.463,36,Current,0.14206,0.1039,0.1139,A,10.0,Employed,Executive,1,204.13,False,"$50,000-74,999",3.0,0,1,6200
2013-01-09 13:50:08.893,60,Completed,0.32321,0.2862,0.2962,E,6.0,Employed,Truck Driver,1,67.45,False,"$25,000-49,999",2.0,0,23,2100
2011-09-20 09:08:03.377,36,Completed,0.13413,0.1029,0.1129,A,8.0,Employed,Clerical,1,821.91,True,"$50,000-74,999",1.0,0,106,25000
2012-12-03 10:13:15.167,36,Current,0.33286,0.2832,0.2932,E,4.0,Employed,Professional,1,168.32,False,"$75,000-99,999",2.0,0,33,4000
2013-07-07 08:12:56.060,36,Current,0.29536999999999997,0.2466,0.2566,D,2.0,Employed,Other,1,160.44,False,"$25,000-49,999",2.0,0,1,4000
2013-03-07 08:14:55.623,36,Current,0.09837,0.0749,0.0849,AA,10.0,Employed,Analyst,1,157.81,False,"$75,000-99,999",1.0,0,90,5000
2012-09-13 10:07:59.230,60,Current,0.17317000000000002,0.1399,0.1499,A,7.0,Employed,Executive,1,594.62,True,"$100,000+",1.0,0,15,25000
2011-12-19 07:05:07.160,36,Completed,0.12528,0.0874,0.0974,A,8.0,Employed,Other,1,658.98,False,"$100,000+",1.0,0,335,20500
2010-05-10 08:46:09.327,36,Chargedoff,0.29588000000000003,0.2625,0.2725,D,6.0,Part-time,Other,1,204.8,True,"$25,000-49,999",1.0,0,146,5000
2012-09-01 11:21:52.740,60,Current,0.2893,0.2532,0.2632,D,4.0,Employed,Clergy,1,225.98,False,"$25,000-49,999",1.0,0,9,7500
2011-09-30 09:00:14.257,36,Completed,0.34886999999999996,0.3025,0.3125,HR,1.0,Self-employed,Other,3,172.56,False,"$25,000-49,999",1.0,0,88,4000
2013-12-10 13:39:07.220,36,Current,0.11563,0.0779,0.0879,A,8.0,Employed,Professional,2,317.02,True,"$100,000+",2.0,0,1,10000
2013-04-19 14:43:46.047,36,Current,0.08325,0.0599,0.0699,AA,10.0,Full-time,Engineer - Mechanical,1,339.6,True,"$75,000-99,999",3.0,0,233,11000
2013-11-24 21:04:12.040,36,Current,0.19859000000000002,0.152,0.162,C,8.0,Employed,Executive,15,528.84,True,"$75,000-99,999",1.0,0,1,15000
2013-05-02 13:36:00.457,60,Current,0.29341,0.2572,0.2672,D,2.0,Employed,Other,1,455.52,True,"$100,000+",1.0,0,1,15000
2010-02-08 08:26:22.930,36,Completed,0.22135,0.189,0.199,C,9.0,Retired,Other,2,92.78,True,"$50,000-74,999",1.0,0,113,2500
2013-06-29 11:39:41.687,60,Completed,0.10878,0.0769,0.0869,AA,10.0,Employed,Analyst,1,206.08,True,"$100,000+",2.0,0,179,10000
2011-09-27 07:53:17.947,36,Current,0.34621,0.2999,0.3099,E,4.0,Employed,Professional,3,189.18,False,"$50,000-74,999",1.0,0,9,4400
2012-07-16 20:30:36.303,60,Past Due (61-90 days),0.16151,0.1285,0.1385,A,8.0,Employed,Other,7,521.79,True,"$25,000-49,999",1.0,0,353,22500
2013-12-26 12:50:50.263,60,Current,0.14658,0.1139,0.1239,A,9.0,Employed,Other,1,157.09,False,"$50,000-74,999",1.0,0,1,7000
2013-06-13 03:52:02.277,60,Current,0.17522000000000001,0.1419,0.1519,B,6.0,Employed,Skilled Labor,2,238.9,True,"$50,000-74,999",2.0,0,131,10000
2012-06-19 13:32:24.883,36,Current,0.26681,0.2187,0.2287,D,2.0,Employed,Other,1,88.88,True,"$50,000-74,999",1.0,0,27,2300
2013-11-03 08:48:26.140,60,Current,0.13227,0.0999,0.1099,A,11.0,Employed,Other,2,326.06,True,"$50,000-74,999",4.0,0,185,15000
2013-05-22 16:03:36.833,60,Current,0.20593000000000003,0.1719,0.1819,B,5.0,Employed,Professional,9,382.45,True,"$50,000-74,999",1.0,0,1,15000
2010-05-26 12:50:25.737,36,Completed,0.07479,0.0614,0.0714,AA,10.0,Part-time,Administrative Assistant,1,30.94,False,"$1-24,999",1.0,0,18,1000
2012-06-29 13:32:42.087,60,Current,0.35838000000000003,0.3204,0.3304,E,2.0,Full-time,Nurse's Aide,2,136.98,False,"$25,000-49,999",3.0,0,28,4000
2010-09-14 06:47:12.347,36,Completed,0.15803,0.1265,0.1365,B,8.0,Employed,Professional,3,0.0,True,"$100,000+",1.0,0,315,15000
2010-05-19 16:16:10.840,36,Completed,0.37453000000000003,0.34,0.35,HR,5.0,Full-time,Tradesman - Mechanic,1,176.81,True,"$75,000-99,999",1.0,0,71,4000
2013-06-08 22:54:45.570,36,Chargedoff,0.18725,0.1409,0.1509,B,6.0,Employed,Police Officer/Correction Officer,1,347.09,False,"$25,000-49,999",3.0,0,1,10000
2011-05-22 18:01:55.357,36,Completed,0.08331000000000001,0.0699,0.0799,AA,10.0,Employed,Other,1,438.64,True,"$100,000+",1.0,0,143,14000
2013-12-03 17:03:31.803,36,Current,0.13799,0.0999,0.1099,A,8.0,Employed,Other,1,130.94,True,"$50,000-74,999",1.0,0,1,4000
2009-10-19 22:50:42.500,36,Completed,0.25998000000000004,0.2271,0.2371,C,9.0,Full-time,Computer Programmer,1,175.86,False,"$75,000-99,999",1.0,0,145,4500
2012-02-21 13:14:54.053,36,Completed,0.11765999999999999,0.0799,0.0899,A,8.0,Employed,Police Officer/Correction Officer,2,190.77,False,"$25,000-49,999",2.0,0,53,6000
2012-05-14 16:21:31.590,12,Completed,0.20784,0.1204,0.1304,C,2.0,Employed,Accountant/CPA,1,178.67,True,"$25,000-49,999",2.0,0,28,2000
2010-05-04 16:49:44.823,36,Completed,0.22135,0.189,0.199,C,9.0,Full-time,Analyst,1,148.45,True,"$50,000-74,999",1.0,0,79,4000
2013-07-17 10:17:48.733,36,Completed,0.15833,0.1199,0.1299,A,7.0,Self-employed,Truck Driver,1,117.91,False,"$100,000+",1.0,0,1,3500
2012-01-06 10:45:32.743,36,Completed,0.34731,0.2973,0.3073,E,3.0,Employed,Sales - Commission,1,171.41,True,"$25,000-49,999",3.0,0,54,4000
2010-01-01 14:46:53.843,36,Completed,0.22491,0.19,0.2,HR,5.0,Full-time,Professional,1,55.75,True,"$75,000-99,999",1.0,0,75,1500
2013-12-02 07:36:43.197,60,Current,0.15425,0.1214,0.1314,B,11.0,Employed,Computer Programmer,1,342.37,True,"$100,000+",1.0,0,76,15000
2013-08-16 12:39:05.190,60,Current,0.13942000000000002,0.1069,0.1169,A,10.0,Employed,Other,3,154.62,True,"$25,000-49,999",1.0,0,1,7000
2011-07-26 08:08:35.617,36,Current,0.22361999999999999,0.1799,0.1899,C,6.0,Full-time,Executive,1,91.63,True,"$100,000+",1.0,0,6,2500
2013-08-21 12:37:08.067,60,Current,0.15629,0.1234,0.1334,A,8.0,Employed,Professional,1,229.28,True,"$75,000-99,999",1.0,0,144,10000
2014-01-17 14:55:40.860,60,Current,0.18555,0.152,0.162,C,9.0,Employed,Nurse (RN),1,561.76,True,"$75,000-99,999",1.0,0,1,23000
2012-09-29 08:36:48.927,36,Chargedoff,0.2706,0.2224,0.2324,D,3.0,Employed,Professional,7,582.52,True,"$50,000-74,999",1.0,0,326,15000
2013-07-23 10:46:53.227,60,Completed,0.13942000000000002,0.1069,0.1169,A,9.0,Self-employed,Sales - Commission,1,220.88,False,"$50,000-74,999",1.0,0,113,10000
2012-10-14 20:10:01.070,36,Current,0.12528,0.0874,0.0974,A,8.0,Employed,Professional,1,443.6,False,"$100,000+",2.0,0,119,13800
2013-12-12 11:08:56.630,60,Current,0.14658,0.1139,0.1239,A,11.0,Employed,Professional,1,336.63,False,"$50,000-74,999",1.0,0,198,15000
2013-04-20 10:52:51.647,36,Current,0.17192000000000002,0.1259,0.1359,B,6.0,Employed,Administrative Assistant,1,237.85,False,"$25,000-49,999",1.0,0,144,7000
2013-11-13 10:43:29.130,60,Current,0.2214,0.187,0.197,C,7.0,Employed,Other,1,342.25,True,"$50,000-74,999",4.0,0,26,13000
2013-05-19 15:15:26.190,36,Current,0.20462,0.1579,0.1679,B,6.0,Full-time,Administrative Assistant,15,337.71,False,"$25,000-49,999",2.0,1,160,9500
2013-02-26 08:50:36.217,60,Current,0.19364,0.1599,0.1699,B,5.0,Employed,Administrative Assistant,15,77.03,False,"$50,000-74,999",2.0,0,44,3100
2012-09-29 23:35:32.073,36,Completed,0.31627,0.267,0.277,E,1.0,Employed,Other,19,123.61,True,"$50,000-74,999",1.0,0,17,3000
2013-08-18 20:36:03.153,60,Current,0.26877,0.2332,0.2432,D,4.0,Employed,Construction,1,115.82,False,"$25,000-49,999",2.0,0,1,4000
2014-01-14 09:02:45.567,60,Current,0.15425,0.1214,0.1314,B,11.0,Employed,Other,3,570.62,True,"$100,000+",1.0,0,1,25000
2013-01-22 19:03:28.623,36,Current,0.19645,0.1499,0.1599,B,6.0,Employed,Other,9,703.04,False,"$100,000+",1.0,0,386,20000
2011-07-19 05:34:44.207,36,Chargedoff,0.27466999999999997,0.2299,0.2399,D,4.0,Full-time,Nurse (LPN),7,86.3,True,"$25,000-49,999",2.0,0,2,2200
2011-05-04 13:56:36.087,36,Completed,0.32576,0.2799,0.2899,E,2.0,Employed,Professional,1,314.25,True,"$100,000+",1.0,0,35,7500
2013-12-03 00:36:12.727,60,Current,0.13635999999999998,0.1039,0.1139,A,11.0,Employed,Professional,2,519.81,True,"$100,000+",2.0,0,1,23695
2013-10-10 12:14:42.070,36,Current,0.34752,0.2975,0.3075,HR,3.0,Employed,Other,1,171.45,True,"$75,000-99,999",1.0,0,25,4000
2012-09-15 19:03:10.703,36,Current,0.12528,0.0874,0.0974,A,8.0,Employed,Medical Technician,1,466.11,False,"$25,000-49,999",2.0,0,257,14500
2012-06-22 10:59:51.177,36,Current,0.12427,0.0864,0.0964,A,9.0,Full-time,Truck Driver,13,256.79,True,"$25,000-49,999",3.0,0,3,8000
2012-06-04 18:48:52.393,36,Completed,0.26681,0.2187,0.2287,D,6.0,Employed,Professional,1,579.63,False,"$100,000+",1.0,0,9,15000
2013-05-26 07:15:23.647,36,Current,0.15833,0.1199,0.1299,A,8.0,Employed,Retail Management,1,101.07,True,"$100,000+",1.0,0,29,3000
2013-11-25 07:05:22.763,36,Current,0.16324,0.1174,0.1274,B,7.0,Employed,Medical Technician,1,503.53,True,"$50,000-74,999",1.0,0,146,15000
2012-07-14 13:49:40.630,60,Current,0.28704,0.251,0.261,D,3.0,Employed,Retail Management,1,390.0,True,"$50,000-74,999",1.0,0,11,13000
2013-08-09 10:18:38.177,60,Current,0.31848000000000004,0.2816,0.2916,E,5.0,Employed,Professional,2,127.36,True,"$50,000-74,999",2.0,0,1,4000
2013-09-06 13:27:12.037,36,Current,0.13799,0.0999,0.1099,A,10.0,Self-employed,Construction,2,130.94,True,"$100,000+",1.0,0,1,4000
2014-01-23 11:43:49.907,36,Current,0.28595,0.2374,0.2474,E,4.0,Employed,Retail Management,1,198.11,True,"$50,000-74,999",1.0,0,1,5000
2011-04-06 13:51:20.827,36,Completed,0.34886999999999996,0.3025,0.3125,HR,4.0,Employed,Professional,7,129.42,False,"$75,000-99,999",3.0,0,30,3000
2012-05-24 07:35:52.213,36,Chargedoff,0.26681,0.2187,0.2287,D,3.0,Full-time,Administrative Assistant,13,77.28,False,"$1-24,999",3.0,0,41,2000
